ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
211,3604.4,EB Vehicles,EB,13.9,-
212,3635.5,EB Vehicles,EB,31.1,-
213,3657.4,EB Vehicles,EB,21.8,-
214,3701.8,EB Vehicles,EB,44.4,-
215,3707.7,EB Vehicles,EB,5.9,-
216,3713.5,EB Vehicles,EB,5.8,-
217,3732.7,EB Vehicles,EB,19.2,-
218,3736.1,EB Vehicles,EB,3.5,-
219,3796.7,EB Vehicles,EB,60.6,-
220,3816.6,EB Vehicles,EB,19.8,-
221,3876.7,EB Vehicles,EB,60.1,-
222,3894.3,EB Vehicles,EB,17.6,-
223,3906.2,EB Vehicles,EB,11.9,-
224,3908.8,EB Vehicles,EB,2.6,-
225,3912,EB Vehicles,EB,3.2,-
226,3932,EB Vehicles,EB,19.9,-
227,3943.9,EB Vehicles,EB,11.9,-
228,3951.2,EB Vehicles,EB,7.2,-
229,3988,EB Vehicles,EB,36.8,-
230,3992.5,EB Vehicles,EB,4.5,-
231,4060.3,EB Vehicles,EB,67.7,-
232,4069.4,EB Vehicles,EB,9.2,-
233,4073.2,EB Vehicles,EB,3.8,-
234,4079,EB Vehicles,EB,5.8,-
235,4098.2,EB Vehicles,EB,19.2,-
236,4110.9,EB Vehicles,EB,12.6,-
237,4117.6,EB Vehicles,EB,6.8,-
238,4121.6,EB Vehicles,EB,4,-
239,4130.4,EB Vehicles,EB,8.8,-
240,4132.5,EB Vehicles,EB,2.1,-
241,4135.8,EB Vehicles,EB,3.3,-
242,4139.1,EB Vehicles,EB,3.3,-
243,4153.9,EB Vehicles,EB,14.7,-
244,4157.8,EB Vehicles,EB,3.9,-
245,4161.6,EB Vehicles,EB,3.8,-
246,4189.9,EB Vehicles,EB,28.2,-
247,4194.7,EB Vehicles,EB,4.9,-
248,4280.2,EB Vehicles,EB,85.4,-
249,4291.8,EB Vehicles,EB,11.7,-
250,4294.4,EB Vehicles,EB,2.6,-
251,4296.5,EB Vehicles,EB,2.1,-
252,4300.7,EB Vehicles,EB,4.2,-
253,4303.8,EB Vehicles,EB,3.1,-
254,4349.5,EB Vehicles,EB,45.7,-
255,4361.3,EB Vehicles,EB,11.8,-
256,4363.3,EB Vehicles,EB,2,-
257,4459.9,EB Vehicles,EB,96.6,-
258,4475.6,EB Vehicles,EB,15.7,-
259,4478.9,EB Vehicles,EB,3.3,-
260,4481.5,EB Vehicles,EB,2.6,-
261,4484.6,EB Vehicles,EB,3.1,-
262,4507.2,EB Vehicles,EB,22.6,-
263,4512.7,EB Vehicles,EB,5.5,-
264,4514.7,EB Vehicles,EB,2,-
265,4518.2,EB Vehicles,EB,3.5,-
266,4520.7,EB Vehicles,EB,2.6,-
267,4523.9,EB Vehicles,EB,3.1,-
268,4556.8,EB Vehicles,EB,32.9,-
269,4586.9,EB Vehicles,EB,30.2,-
270,4591.4,EB Vehicles,EB,4.4,-
271,4596.6,EB Vehicles,EB,5.2,-
272,4615.8,EB Vehicles,EB,19.3,-
273,4671.8,EB Vehicles,EB,56,-
274,4680.3,EB Vehicles,EB,8.5,-
275,4683.4,EB Vehicles,EB,3.1,-
276,4688.9,EB Vehicles,EB,5.5,-
277,4722.6,EB Vehicles,EB,33.7,-
278,4727.7,EB Vehicles,EB,5.1,-
279,4729.9,EB Vehicles,EB,2.2,-
280,4732.1,EB Vehicles,EB,2.3,-
281,4734.9,EB Vehicles,EB,2.8,-
282,4744.6,EB Vehicles,EB,9.6,-
283,4775,EB Vehicles,EB,30.4,-
284,4855.2,EB Vehicles,EB,80.3,-
285,4878.8,EB Vehicles,EB,23.5,-
